PRODUCTO INTERNO BRUTO TRIMESTRAL POR RAMAS DE ACTIVIDAD ECONOMICA;;;;;;;;;;;;;;;;;
A precios Corrientes - Series Sin Desestacionalizar  - III Trimestre de 2014;;;;;;;;;;;;;;;;;
Cifras Revisadas a diciembre 19 de 2014;;;;;;;;;;;;;;;;;
Miles de millones de pesos;;;;;;;;;;;;;;;;;
Fuente : DANE;;;;;;;;;;;;;;;;;
Esta publicación incluye los resultados obtenidos de las cuentas anuales 2011 definitivo y 2012 provisional, con lo cual se ajustan los valores trimestrales.;;;;;;;;;;;;;;;;;
1. Estos resultados incorporan los cambios asociados a los impuestos que forman parte del cálculo del PIB, con motivo de la expedición de la ley 1607 de 2012;;;;;;;;;;;;;;;;;
P    Cifras Provisionales;;;;;;;;;;;;;;;;;
Pr    Cifras Preliminares;;;;;;;;;;;;;;;;;
Fecha: diciembre 19 de 2014;;;;;;;;;;;;;;;;;
Año;trimestre;Agricultura, ganadería, caza, silvicultura y pesca;Explotación de minas y canteras;Industrias manufactureras;Suministro de electricidad, gas y agua;Construcción;Comercio, reparación, restaurantes y hoteles;Transporte, almacenamiento y comunicaciones;Establecimientos financieros, seguros, actividades inmobiliarias y servicios a las empresas;Actividades de servicios sociales, comunales y personales;Subtotal Valor Agregado;   IVA no deducible;Derechos e impuestos sobre las importaciones;Impuestos excepto IVA;  Subvenciones;Total Impuestos 1;PRODUCTO INTERNO BRUTO
2000;I;4045;2906;6316;1535;1683;6197;2965;9962;7862;43471;1923;383;1141;84;3363;46834
;II;4292;2976;6908;1652;1911;6509;3136;10557;8795;46736;2074;429;1220;90;3633;50369
;III;4446;3313;7709;1759;2224;6754;3474;10834;8947;49460;2146;433;1339;99;3819;53279
;IV;4537;3166;8121;1870;2892;7467;3490;11671;10648;53862;2415;492;1394;114;4187;58049
2001;I;4435;2812;7289;1997;1677;6789;3445;10608;8601;47653;2124;498;1339;132;3829;51482
;II;4563;2877;7817;2081;2087;7106;3685;11209;9462;50887;2274;547;1342;145;4018;54905
;III;4717;3037;8135;2141;2569;7235;3979;11491;9604;52908;2361;530;1338;143;4086;56994
;IV;5078;2346;8688;2240;3690;8061;3974;12612;11246;57935;2719;528;1421;133;4535;62470
2002;I;4834;2422;7465;2147;1956;7094;3815;11319;9094;50146;2374;438;1252;107;3957;54103
;II;5081;2650;8463;2253;2768;7424;4098;12093;10203;55033;2620;523;1389;95;4437;59470
;III;5262;3381;8936;2333;3030;7703;4346;12371;10442;57804;2811;569;1439;93;4726;62530
;IV;5700;3416;9562;2424;4329;8586;4388;13455;12075;63935;3222;615;1554;106;5285;69220
2003;I;5494;3723;8829;2596;2338;7603;4281;12213;9756;56833;2970;586;1463;134;4885;61718
;II;5616;3606;9186;2740;2887;7930;4469;13026;10922;60382;3134;557;1534;155;5070;65452
;III;5694;4009;9979;2839;3217;8264;4869;13309;11023;63203;3334;570;1650;166;5388;68591
;IV;5879;3803;10781;2937;5248;9297;4930;14662;12971;70508;3864;571;1811;170;6076;76584
2004;I;5864;3941;9843;3011;3123;8622;4920;13540;10801;63665;3461;518;1824;150;5653;69318
;II;5894;4246;10628;3083;3292;8893;5036;14361;11964;67397;3621;571;1915;146;5961;73358
;III;6075;4699;11411;3206;4119;9294;5315;14754;12117;70990;3829;588;2043;143;6317;77307
;IV;6514;4809;12477;3261;6336;10458;5589;16342;14655;80441;4489;690;2300;141;7338;87779
2005;I;6369;4785;10718;3249;3439;9274;5389;14819;11977;70019;3919;619;2005;132;6411;76430
;II;6602;5251;11825;3395;3679;9782;5724;15777;13279;75314;4302;744;2107;140;7013;82327
;III;6557;5937;12453;3520;4730;10083;6012;16412;13363;79067;4522;782;2207;139;7372;86439
;IV;6751;5398;13086;3544;7067;11196;6160;18088;15591;86881;5114;804;2290;129;8079;94960
2006;I;6568;5687;11863;3496;3702;10125;6302;16420;13011;77174;4685;768;2070;112;7411;84585
;II;6893;6384;13185;3634;4955;10884;6442;17473;14265;84115;5145;900;2267;110;8202;92317
;III;7268;6598;14441;3831;5977;11701;6805;18102;14582;89305;5595;972;2391;109;8849;98154
;IV;7540;6680;15217;3916;8588;12832;7004;19991;17245;99013;6312;1038;2585;106;9829;108842
2007;I;7372;5747;14181;3974;4958;12076;7239;18336;14174;88057;5774;1002;2404;106;9074;97131
;II;7434;5939;14826;4065;5595;12406;7421;19686;15637;93009;5988;1000;2433;112;9309;102318
;III;7705;6569;15860;4117;6933;13036;7834;20226;16310;98590;6315;1061;2580;117;9839;108429
;IV;8175;7467;17449;4185;10180;14453;8186;22722;19436;112253;7157;1127;2782;125;10941;123194
2008;I;7975;8182;15471;4042;5890;13027;7679;20627;15736;98629;6345;1000;2560;131;9774;108403
;II;7865;9840;16330;4386;7440;13405;7744;21965;17517;106492;6555;979;2530;146;9918;116410
;III;8413;10628;17287;4568;9244;13997;8139;22743;17623;112642;6835;1070;2674;155;10424;123066
;IV;8711;9039;17782;4718;10805;15378;8284;25081;21050;120848;7490;1260;2770;160;11360;132208
2009;I;8802;7574;15836;4260;6905;13842;8257;22818;17197;105491;6374;1051;2400;154;9671;115162
;II;8516;8850;16103;4531;9169;14105;8218;24191;19253;112936;6441;954;2484;157;9722;122658
;III;8572;9380;16810;4708;10134;14424;8326;24495;19606;116455;6662;984;2735;157;10224;126679
;IV;8742;10587;17679;4784;12705;16024;8740;26469;23235;128965;7378;1020;2934;149;11183;140148
2010;I;8562;10943;15932;4802;7342;14576;8347;24028;18873;113405;6698;987;2730;127;10288;123693
;II;8652;11763;17159;4894;8626;14940;8432;25699;21025;121190;7082;1077;2842;127;10874;132064
;III;8597;10777;17503;4955;9744;15808;8710;26363;21200;123657;7526;1254;2894;138;11536;135193
;IV;9620;12477;18933;5007;13628;17886;9192;28958;25182;140883;8621;1440;3189;159;13091;153974
2011;I;9805;14886;17645;5080;8058;16161;8642;25872;20310;126459;8060;1244;3362;180;12486;138945
;II;9244;17182;18505;5140;9792;16745;8810;27684;22853;135955;8774;1304;3482;214;13346;149301
;III;9444;17188;19523;5383;12068;17686;9211;28700;23158;142361;9042;1302;3527;243;13628;155989
;IV;10229;19687;20824;5543;15948;19740;9536;31622;27475;160604;10054;1451;3805;255;15055;175659
2012P;I;9977;19251;19042;5507;10447;17744;9315;28531;22311;142125;9124;1314;3498;242;13694;155819
;II;9372;18017;19571;5499;12829;18132;9197;30377;25151;148145;9318;1270;3778;248;14118;162263
;III;9473;17687;20389;5697;12601;18733;9594;30935;25702;150811;9277;1252;3770;258;14041;164852
;IV;9546;18388;20971;5696;16979;21054;9912;34009;30517;167072;10184;1485;4024;258;15435;182507
2013Pr;I;9711;18414;18593;5767;11899;18537;9688;30377;24139;147125;9562;1304;3819;248;14437;161562
;II;9976;18370;19816;6016;14034;19191;9682;32493;27311;156889;9924;1338;3999;265;14996;171885
;III;9896;19436;20267;6054;15971;20022;10206;33416;27872;163140;10007;1338;4052;276;15121;178261
;IV;9958;19463;20858;6111;19305;22738;10497;36508;33476;178914;10983;1614;4234;276;16555;195469
2014Pr;I;10536;19331;19123;6110;14374;20032;10444;32785;26618;159353;10633;1471;3886;256;15734;175087
;II;10791;18392;19601;6399;15690;20630;10411;35240;29940;167094;9978;1509;4165;247;15405;182499
;III;10872;17520;20383;6681;18446;21604;10924;35686;30258;172374;11003;1487;4277;293;16474;188848
